text,label
Appearances: S.S.M. Anderson/A.L.G. Côté for the Respondent G.S. Solomon for the Appellant,counsel
The Court: The Honourable Mr. Justice Ronald Berger The Honourable Mr. Justice Jack Watson The Honourable Mr. Justice Frans Slatter,judge
"In the result, and for all these reasons, I would allow the appeal and restore the Order of the adjudicator.",outcome
"The Office of the Information and Privacy Commissioner challenges a judicial review decision, which quashed an adjudicator’s decision on complaints respecting alleged contraventions of the Personal Information Protection Act, S.A. 2003, c. P‑6.5 (“PIPA”). The complainants had alleged breaches of privacy by the Alberta Teachers’ Association in a publication called “ATA News” issued in October and December, 2005. The adjudicator’s decision was quashed “on the basis that the Commissioner lost jurisdiction” for failing to comply with section 50(5) of PIPA. Section 50(5) of PIPA sets out time limits for inquiry and adjudication of such complaints.",facts
In the Court of Appeal of Alberta,court
 R. v. Sykes,dec_name
Appearances: T.L. Couillard for the Appellant A. Simic for the Respondent,counsel
The Court: The Honourable Mr. Justice Keith Ritter The Honourable Mr. Justice Frans Slatter The Honourable Madam Justice Patricia Rowbotham,judge
"We allow the appeal and impose a sentence of 9 months imprisonment, less credit for time served. The term of probation is reduced to 12 months on the same terms directed by the sentencing judge.",outcome
"The respondent was in a relationship with Troy Poulin and shared an apartment with him. The victim is a former girlfriend of Poulin. On the day of the offence, the victim met Poulin in a bar. The two went back to Poulin’s apartment. They continued to drink and passed out on the couch, cuddling. The victim awoke on the floor. Her arm had been slashed. Poulin was in the bathroom and the respondent was yelling at him. The respondent then stood over the victim and yelled, “Fuck you, fuckin skank, don’t ever come back here again. You got it?” The respondent left the apartment with the knife and disposed of it. The victim described the knife as 8 to 10 inches long. The victim required surgery and stitches to repair a cut tendon in her arm, and wore a cast for several months. She described ongoing psychological harm. Poulin also bled from his hands and forehead, but did not tell the police how he received those injuries. The respondent testified that Poulin received the injuries while trying to protect the victim. Poulin died (of causes unrelated to this incident) before trial.",facts
In the Court of Appeal of Alberta,court
 R. v. Jones,dec_name
Appearances: T.L. Couillard for the Respondent S. Jones In Person,counsel
The Court: The Honourable Mr. Justice Keith Ritter The Honourable Mr. Justice Frans Slatter The Honourable Madam Justice Patricia Rowbotham,judge
"The Crown concedes that some of the concurrent sentences imposed on the summary conviction offences are illegal, as they exceed the statutory maximum. We substitute concurrent sentences of 10 days on informations 090061565P1 and 090117466P1. We also substitute concurrent sentences of 6 months on informations 060114824P1, 080145642P1 and 081329526P1. The overall net sentence will not change. Otherwise the appeal is dismissed.",outcome
"The appellant has appealed a global net sentence of 14 months jail and 12 months probation she received for about 22 fraud, theft, and personation type offences. There were about 6 related breach of condition type offences. She had been given 6 months credit for pretrial custody in the net calculation of 14 months. The offences were committed over a three year period. Some were committed while the appellant was on release from earlier charges. The appellant has a significant related record. The appellant argues that the sentence is too severe, but does not point to any error of principle or law made by the trial judge.",facts
In the Court of Appeal of Alberta,court
 FiltraTech Water Systems Ltd. v. Tri Spirit Processors Ltd.,dec_name
Appearances: In Person for the Applicants K.W. Fitz for the Respondent,counsel
The Honourable Mr. Justice Frans Slatter,judge
I am going to dismiss this application.,outcome
"This is an application for leave to appeal the decision of a single judge, who dismissed an application for filing a late appeal from a decision of Justice Topolniski. In order to succeed the applicant has to show a serious flaw in the decision of the single judge.",facts
In the Court of Appeal of Alberta,court
 R. v. Ausland,dec_name
Appearances: J.J. Kelly for the Appellant I. Kuklicz for the Respondent,counsel
The Court: The Honourable Mr. Justice Ronald Berger The Honourable Mr. Justice Clifton O’Brien The Honourable Madam Justice Patricia Rowbotham,judge
"In this case, at minimum, the evidence shows that the appellant was in the course of causing the trailer to become movable. The offence was established. In result, the appeal from the conviction of break, enter the theft is allowed and is set aside. A conviction for theft, pursuant to count 2, is entered. The matter is remitted to the trial judge for resentencing.",outcome
"The appellant, Kevin Ausland, appeals his conviction for break, enter and theft pursuant to sections 348(1)(b) and (e) of the Criminal Code, R.S.C. 1985, c. C46 (Code). The facts are these. Rona Distribution Ltd. owns an overflow yard which is used for the purpose of storing trailers. The yard is a former parking lot of a drivein movie theatre and is unfenced. The only physical thing controlling access and egress to the property is a chain between two cement posts which spans the road giving vehicle access to the yard. While vehicular access to the yard is controlled by this means, there is no physical barrier impeding pedestrian access. The yard is patrolled by security guards and cameras. On the evening of September 7, 2007, two men were observed backing a truck tractor up to the chain. The chain was secured by a padlock. They apparently cut through the chain and backed the tractor unit up to a trailer parked in the lot. The tractor and trailer were connected and the unit was ready to be pulled, when the police arrived in response to an emergency call. In the end, nothing was removed from the yard. Ausland was charged and convicted of breaking and entering a place, and committing a theft therein. He was also found guilty of theft over $5,000, under section 334 of the Code, but that conviction was stayed under the principle set out in R. v. Kienapple, 1974 CanLII 14 (SCC),  1 S.C.R. 729. Ausland was acquitted of another theft charge relating to the tractor unit.",facts
In the Court of Appeal of Alberta,court
 Engle Estate v. Aviva Insurance Company of Canada,dec_name
Appearances: J.F. McGinnis for the Appellant M. Mohamed and P. Vetsch for the Respondent,counsel
The Court: The Honourable Madam Justice Constance Hunt The Honourable Mr. Justice Keith Ritter The Honourable Mr. Justice Peter Martin,judge
"Furthermore, I cannot think that such a distinction would be in the minds of the parties to an “all risk” policy. There is no reason to suspect that an insured who buys an “all risk” policy in relation to a commercial building would intend the exclusion of settlement type damages arising from unnatural causes on the basis of this exclusion clause. Likewise, it is illogical to think that an insurer of an “all risk” policy would have intended to shield itself behind an exclusion clause if the accident produced settling, as opposed to any other type of damage. If the parties intended such an anomalous result, they should have said so in the contract. In the absence of express language to that effect, it seems clear that neither party intended that result and I conclude that the appellant’s position belies its intention at the time it entered into the contract. For these reasons, the appeal is dismissed. Judgment accordingly.",outcome
"The facts giving rise to the appeal are not disputed. The respondent owns a commercial building located on 13th Avenue and 1st Street S.W., Calgary. It leased the premises to a number of commercial tenants, and secured an “all risk” insurance policy. The appellant insurer later assumed the policy and renewed it from time to time, such that the policy was in effect at all relevant times. In July 2006, construction began on a highrise condominium project located adjacent to the respondent’s building. After the lot was excavated several stories deep, tenants in the respondent’s building began to notice cracks developing in the floors, walls and ceilings. They complained to the respondent, who reported the matter to the appellant. All agreed that the building had been in good condition and repair prior to the commencement of the construction. The respondent’s proof of loss claim was denied by the appellant on the basis that the policy excludes loss or damage caused by earth movement and settlement. The respondent retained Anast Demitt, a structural engineer, to inspect the building to ascertain the cause and extent of the damage, and to estimate the cost of repair. Mr. Demitt concluded that the damage was caused by the excavation activity on the adjacent lot, specifically by inadequate underpinnings and shoring, together with vibrations, shaking and the destabilizing effects of the deep excavation. He found that, as a result, the respondent’s building sustained settlement of the structural frame and the floor slabs. Photographs, entered by agreement in the court below, show extensive damage to the building with massive cracks in the floors, walls and ceilings. Mr. Demitt estimated the cost of repair to be in the range of $1,000,000. His report itself did not form part of the evidence, but was described in the affidavit of Raphael Engle. The question of the appellant’s liability was put before a chambers judge. By then, the appellant had abandoned its argument that the earth movement exclusion clause applied and relied solely on the settlement exclusion clause to deny coverage.",facts
In the Court of Appeal of Alberta,court
 River Rentals Group Ltd. v. Hutterian Brethren Church of Codesa,dec_name
"Appearances: D.R. Bieganek for the Respondent River  Rentals Group, Taves Contractors Ltd. and McTaves Inc. for the Respondent Bill McCulloch and Associates Inc. G.D. Chrenek for the Appellant Hutterian Brethren Church of Codesa T.M. Warner for the Respondent Don Warkentin",counsel
The Court: The Honourable Mr. Justice Ronald Berger The Honourable Madam Justice Patricia Rowbotham The Honourable Mr. Justice R. Paul Belzil,judge
"In our opinion, the chambers judge erred in principle and on insufficient evidence ordered that the property in question be the subject of an extended retendering process. The appeal is allowed. An order will go setting aside paras. 26 through 32 of the June 2, 2009 and the June 17, 2009 orders, and approving the tender of the Appellant on the terms and conditions upon which the Receiver originally sought approval.",outcome
In the Court of Appeal of Alberta,court
 Wong v. Enmax Encompass Inc.,dec_name
Appearances: Albert Wong On Own Behalf A. W. Wilkinson for the Respondent,counsel
The Court: The Honourable Madam Justice Carole Conrad The Honourable Mr. Justice Clifton O’Brien The Honourable Mr. Justice Frans Slatter,judge
"Before us, Mr. Wong reiterates the complaints which he made to the chambers judge on his application to set aside the summary judgment. Like the chambers judge, we see no flaw in the procedure followed by Enmax. The summary judgment was granted on proper evidence and following service of the application, in accordance with the Rules of Court. The award of costs was within the discretion of the chambers judge hearing the application . The appeal is dismissed.",outcome
"The appellant, Albert Wong, appeals an order for summary judgment granted by a chambers judge on June 3, 2009. The judgment enforces a settlement agreement made with the respondent, Enmax Encompass Inc. (Enmax), including a monetary judgment in the amount of $650.00, and costs in the amount of $1500.00, inclusive of disbursements. The settlement was made during the course of proceedings brought in the Provincial Court (Civil).",facts
In the Court of Appeal of Alberta,court
 Moore v. Alberta Society for the Prevention of Cruelty to Animals,dec_name
Appearances: Patricia Moore in person D.A. Cranna for the Respondent,counsel
Oral Reasons for Decision of The Honourable Mr. Justice Peter Costigan,judge
"The applicant’s materials contain no evidence of irreparable harm and no evidence to establish that the balance of convenience would favour a stay. Indeed, it is notable that the orders which the applicant seeks to appeal specifically provide that the adoption out of the animals is without prejudice to any claim for damages and costs. The applicant’s materials do not satisfy me that the proposed appeal is not an abuse of process and that there are reasonable grounds for the appeal. Therefore, leave to file a Notice of Appeal is denied. Moreover, the materials do not meet the tripartite test for a stay. The applications are dismissed.",outcome
"The applicant, who is the subject of a Vexatious Litigant Order, applies for leave to file a Notice of Appeal and, if leave is granted, for a stay of certain portions of two Orders pronounced on December 21, 2009 and January 5, 2010. The two orders arise in proceedings instituted by the applicant following the seizure by the respondent of some animals in the applicant’s possession. Amongst other things, the December 21 order establishes a procedure for adoption out by the respondent of some of the seized animals. It provides that if any of the animals are adopted out under the procedure, the adoption is without prejudice and without admission of liability by either the applicant or the respondent. The January 5 order provides that after 5:00 p.m. on January 12, 2010 the respondent may adopt out any of the remaining animals and that the adoption out of any animals will be without prejudice to any future claims for damages and costs. In essence, the applicant wishes to appeal these adoption out provisions and to have them stayed pending the hearing of the appeal.",facts
In the Court of Appeal of Alberta,court
 Connell v. Connell,dec_name
Appearances: L.J. Tymchuk for the Respondent (Plaintiff) J.A. Galarneau for the Applicant (Defendant),counsel
The Court: The Honourable Mr. Justice Ronald Berger The Honourable Madam Justice Patricia Rowbotham The Honourable Mr. Justice R. Paul Belzil,judge
"In the result, the application for leave to appeal is dismissed. The appeal is not properly before the Court and, accordingly, is struck.",outcome
"Rule 505(4) reads as follows: “Where the matter in controversy in the appeal can be estimated in money and does not exceed the sum of $25,000 exclusive of costs, no appeal lies without the leave of the court or a judge thereof.” Counsel for the Applicant acknowledges that in late December she received notice from the Registry of the foregoing requirement. No application for leave was brought. The Applicant now seeks leave before this panel scheduled to hear the appeal without having given notice to the Respondent. Counsel for the Respondent resists the application.",facts
 Connell v. Connell,dec_name
The Honourable Mr. Justice Ronald Berger ,judge
The Honourable Madam Justice Patricia Rowbotham,judge
The Honourable Mr. Justice R. Paul Belzil,judge
L.J. Tymchuk for the Respondent (Plaintiff) ,counsel
J.A. Galarneau for the Applicant (Defendant) ,counsel
"In the result, the application for leave to appeal is dismissed. The appeal is not properly before the Court and, accordingly, is struck.",outcome
Costs follow the result pursuant to the default rule.,outcome
 364661 Alberta Ltd. v. 735608 Alberta Ltd.,dec_name
The Honourable Madam Justice Elizabeth McFadyen  ,judge
The Honourable Mr. Justice Peter Costigan  ,judge
The Honourable Mr. Justice Jack Watson ,judge
The evidence before the chambers judge was insufficient to establish some degree of harm to the respondent and to establish that the balance of convenience favoured a stay.  ,outcome
The appeal is allowed and the interim injunction is set aside. ,outcome
D.L. Picco/D.R. Schmidt for the Appellant  ,counsel
"J.C. Prowse, Q.C./N. Papadopoulos for the Respondent ",counsel
 R. v. Knight,dec_name
The Honourable Mr. Justice Jean Côté,judge
The Honourable Mr. Justice J.D. Bruce McDonald  ,judge
The Honourable Madam Justice Adele Kent ,judge
The “new” evidence also fails the test of “practically conclusive”.,outcome
"The new evidence is not received, and the appeal is dismissed.",outcome
B.R. Graff for the Respondent  ,counsel
D.S. Bourdon for the Appellant ,counsel
 Redcliff (Town) v. Medicine Hat (City),dec_name
The Honourable Madam Justice Constance Hunt,judge
The Honourable Madam Justice Constance Hunt,judge
"In summary, I am not prepared to grant leave because the issues have not been sufficiently defined so as to make possible a ruling on relevance of the sought information. The Town is not restricted from raising these issues again after the Commission has rendered its final decision (except as to IRs 8 and 9). In so holding, I make no determination as to whether the other disputed IRs give rise to an issue of law or jurisdiction so as to meet the threshold test for leave to appeal.",outcome
Leave to appeal is denied.,outcome
T.D. Marriot for the Applicant  ,counsel
"P.A. Smith, Q.C. for the Respondent (City of Medicine Hat)  ",counsel
A. Jin for the Respondent (Alberta Utilities Commission) ,counsel
 Klinck v. Klinck,dec_name
The Honourable Madam Justice Carole Conrad,judge
The Honourable Madam Justice Constance Hunt,judge
The Honourable Madam Justice Marina Paperny,judge
Double costs of the appeal will not be awarded.,outcome
"L. P. Campbell, Q.C. For the Respondent  ",counsel
D.C. Harder for the Appellant ,counsel
 Pelech v. Law Enforcement Review Board,dec_name
The Honourable Mr. Justice Ronald Berger,judge
The Honourable Mr. Justice Ronald Berger,judge
"L R.S. Abells, Q.C. for the Applicant  ",counsel
S.P. McDonough for the Respondent ­ Law Enforcement Review Board  ,counsel
E.D. Norheim for the Respondent ­ The Criminal Trial Lawyers Association  ,counsel
"S.D. Johnson for the Other Party ­ Mike Boyd, Chief of Police of the Edmonton Police Service ",counsel
 Bedard v. Amin,dec_name
The Honourable Madam Justice Carole Conrad,judge
The Honourable Madam Justice Marina Paperny,judge
The Honourable Mr. Justice Clifton O’Brien,judge
R.W. Armstrong and S.D. Petriuk for the Appellants  ,counsel
V.R.M. Prather for the Defendants ,counsel
Citation: Bröeker v. Bennett Jones,counsel
The Honourable Mr. Justice Jean Côté,dec_name
The Honourable Madam Justice Constance Hunt,judge
The Honourable Mr. Justice Keith Ritter,judge
"This appeal is dismissed, as are all associated applications.",judge
"G.F. Scott, Q.C. For the Respondent  ",counsel
Appellant Cathyrene Bröeker in person ,counsel
 R. v. Wolbeck,dec_name
The Honourable Mr. Justice Jack Watson,counsel
The Honourable Mr. Justice Frans Slatter,counsel
The Honourable Madam Justice Patricia Rowbotham,counsel
"We allow the appeal, quash the decision of the summary conviction appeal court and restore the conviction under section 253(b)",outcome
D.C. Marriott for the Appellant  ,counsel
R.S. Prithipaul for the Respondent ,counsel
 Nattrass v. Weber,dec_name
The Honourable Madam Justice Elizabeth McFadyen,judge
The Honourable Mr. Justice Frans Slatter,judge
The Honourable Madam Justice Doreen Sulyma,judge
"The appellants argued a number of other issues, but it is not necessary to deal with them to dispose of this appeal.",outcome
"The standard of care set for Dr. Weber and Dr. Harley by the trial judge was in error. Having followed the standard practice prevailing for orthopaedic surgeons in 1998, their conduct was not negligent. Their appeal is allowed, and the action dismissed as against them.",outcome
"The wrong test for causation was applied to the conduct of Dr. Sevcik, and the standard of care required of him must be revisited. His appeal is allowed, and a new trial directed, as it is not possible on this record to resolve his liability.",outcome
I would dismiss the appeal.,outcome
E.R. Feehan and J.V. Miller for the Respondents  ,counsel
"J.J. Heelan, Q.C. for the Appellants ",counsel
 Schubert v. AS4 Steel Ltd.,dec_name
In the Court of Appeal of Alberta,court
The Honourable Mr. Justice Jean Côté,judge
The Honourable Mr. Justice J.D. Bruce McDonald,judge
The Honourable Madam Justice Adele Kent,judge
The Calgary Airport Authority and Ayron Developments Inc. (Ayron) entered into a construction lease in which Ayron agreed to build 20 airplane hangers (the Head Lease). Ayron registered its leasehold interest with Land Titles. One of the terms of the Head Lease was that Ayron would not allow any builders’ liens to remain registered against title.,facts
"In January 2003, Ayron contracted with A.S.4. Steel Ltd. (AS4) to build the hangers. At the same time, Ayron sublet the 20 hangers to a number of different parties including a corporation that in turn assigned its interest in the sublease to the appellant, Leigh Schubert (Schubert). The sublease was not registered with Land Titles.",facts
"On March 17, 2004, AS4 filed a builders’ lien against Ayron’s leasehold interest claiming the sum of $425,000 owed. On March 26, 2004, AS4 filed a Statement of Claim seeking payment of $368,549, and on July 30, 2004, filed a certificate of lis pendens for both its builders’ lien and its civil claim. Ayron filed a Statement of Defence on April 8, 2004.",facts
"On June 4, 2009, the hearing proceeded on the merits. The case management judge found that Schubert was an “interested party” under section 46 of the Builders’ Lien Act and had standing to bring the application. However, the case management judge went on to rule that Schubert was not entitled to the relief sought because the delay in prosecuting the action was not inordinate.",outcome
The appeal is allowed and the cross appeal is dismissed. We direct that the builders’ lien and certificate of lis pendens be discharged from the title to the lands in question and that the monies remaining in court stand in lieu thereof.,outcome
 Donnelly v. Bighorn (Municipal District No. 8),dec_name
The Honourable Madam Justice Carole Conrad,judge
The Honourable Mr. Justice Clifton O’Brien,judge
The Honourable Mr. Justice Frans Slatter,judge
"The appellant, Mary Donnelly, operates a horse breeding and training facility called Alborak Stables (Alborak) within the respondent Municipal District of Bighorn No. 8 (the MD). The stable sits on lands classified “Agricultural Conservation” district, as defined by Land Use Bylaw No. 16/96 (the Bylaw). Permitted uses within the district include “extensive agriculture” and “accessory buildings”, also defined by the Bylaw. As this appeal turns on the interpretation of a 2003 Stop Order, it is important to understand the history and context of that order and the order under appeal.",facts
"The appellant has resided on the lands since 1981. On September 30, 1996, she applied to the MD for a development permit to construct an “Accessory Building (Breeding and Training Building)” (Accessory Building). The appellant’s daughter, Sandra Donnelly, submitted a letter outlining Alborak’s business, which included taking horses from other breeders for training and sale. She stated: The type of operation which will be run from this location is no different than what is currently run on this quarter. We currently breed cattle and sell the calves each fall which is the most economic time for us to sell them. We have been buying young horses, training them, and selling them at a profit. We have also been training horses for other breeders, mostly on share basis, so we actually own a percentage of these horses. These breeders do not have significant involvement in the training of the horses and are similar to owners of cattle in feedlots.",facts
The appeal is allowed and the SDAB’s decision quashed. The matter is remitted to the SDAB to dispose of the appellant’s appeal by setting aside the 2008 Stop Order.,outcome
 R. v. White,dec_name
The Honourable Mr. Justice Ronald Berger,judge
The Honourable Mr. Justice Clifton O’Brien,judge
The Honourable Madam Justice Patricia Rowbotham,judge
I. Kuklicz for the Respondent,counsel
"L.K. Stevens, Q.C. for the Appellant",counsel
P.A. Kazakoff for the Appellant/Respondent on Cross Appeal,counsel
"R.J. Simpson, Q.C. for the Respondent/Appellant on Cross Appeal",counsel
"A.J. Jordan, Q.C. for the Appellant",counsel
J.M. Klauer for the Respondents,counsel
" S. Maclise Enterprises Inc. v. Union Securities Ltd.,",dec_name
The Honourable Chief Justice Catherine Fraser,judge
The Honourable Mr. Justice Peter Martin,judge
The Honourable Mr. Justice Frans Slatter,judge
M.L. Engelking for the Appellant,counsel
J.D. Blair for the Respondents Union Securities Ltd. and Terry Ferguson,counsel
B.E. Mintz for the Respondent Bruno Dobler,counsel
J.A. Moffat for the Respondent Tom Hochhausen,counsel
"Dobler was successful on the appeal and crossappeal but does not seek costs for that. However, the costs award granted at trial against Dobler is set aside. He is entitled to trial costs to be taxed on Column 3 up to his offer of October 2006, and double costs on Column 3 after his offer of that date. While it is highly desirable for an appellant to claim trial costs in his factum, the decision in West Edmonton Mall Ltd. v. McDonald’s Restaurants of Canada Ltd. (1993), 145 A.R. 76, 20 C.P.C. (3d) 182 (C.A.) does not set down a universal rule that the failure to claim trial costs is fatal: MacPhail v. Karasek, 2006 ABCA 354 (CanLII), 69 Alta. L.R. (4th) 16, 401 A.R. 100, 33 R.F.L. (6th) 311 at para. 6. The death of Dobson, even if his estate is insolvent, is not a “special circumstance” that would displace the double costs rule.",outcome
 R. v. A.G.A.,dec_name
The Honourable Mr. Justice Jean Côté,judge
The Honourable Mr. Justice Peter Costigan,judge
The Honourable Mr. Justice Frans Slatter,judge
"The sentence imposed resulted from an error in principle and is demonstrably unfit. We allow the appeal, set aside the 3 year sentence and substitute a sentence of 5 years in jail.",outcome
D.C. Marriott for the Appellant,counsel
D.J. Royer for the Respondent,counsel
